"","File","Query","SolutionStr","MySolutionStr","SolutionLine","MySolutionLine","Loss"
"1","1.txt","return track.isPlaying();","return track.isPlaying() && !track.isPaused();","return track.isPlaying() && !track.isPaused();",75,75,0
"2","10.txt","final NoisyChannelSpellChecker checker = new NoisyChannelSpellChecker(realWordErrorLikelihood, suggestion.getRequireUnigram(), suggestion.getTokenLimit());","final NoisyChannelSpellChecker checker = new NoisyChannelSpellChecker(realWordErrorLikelihood, suggestion.getRequireUnigram());","final NoisyChannelSpellChecker checker = new NoisyChannelSpellChecker(realWordErrorLikelihood, suggestion.getRequireUnigram());",64,64,0
"3","100.txt","client.admin().cluster().state(new ClusterStateRequest(), new ActionListener<ClusterStateResponse>() {","client.admin().cluster().execState(new ClusterStateRequest(), new ActionListener<ClusterStateResponse>() {","client.admin().cluster().execState(new ClusterStateRequest(), new ActionListener<ClusterStateResponse>() {",53,53,0
"4","11.txt","if (currentState != null) currentState.enter(owner);","currentState.enter(owner);","if (currentState != null) currentState.exit(owner);",112,106,0.999987711650796
"5","12.txt","if (isDisabled() && style.imageDisabled != null)","if (isDisabled && style.imageDisabled != null)","if (isDisabled && style.imageDisabled != null)",74,74,0
"6","13.txt","if (isDisabled() && style.disabledFontColor != null)","if (isDisabled && style.disabledFontColor != null)","if (isDisabled && style.disabledFontColor != null)",74,74,0
"7","14.txt","jsonTexture.fileName = materialDir + (materialDir.length() == 0 || materialDir.endsWith(""/"") ? """" : ""/"") + fileName;","jsonTexture.fileName = materialDir + (materialDir.endsWith(""/"") ? """" : ""/"") + fileName;","jsonTexture.fileName = materialDir + (materialDir.endsWith(""/"") ? """" : ""/"") + fileName;",213,213,0
"8","15.txt","Circle, Edge, Polygon, Chain,","Circle, Polygon, Edge, Chain,","Circle, Polygon, Edge, Chain,",33,33,0
"9","16.txt","if (Toolkit.instance == null) Toolkit.instance = new TableToolkit();","Toolkit.instance = new TableToolkit();","Toolkit.instance = new TableToolkit();",57,57,0
"10","17.txt","public class TableToolkit extends Toolkit<Actor, Table, TableLayout> {","class TableToolkit extends Toolkit<Actor, Table, TableLayout> {","class TableToolkit extends Toolkit<Actor, Table, TableLayout> {",33,33,0
"11","18.txt","btRigidBody body = (btRigidBody)(objs.at(i));","btRigidBody body = btRigidBody.upcast(objs.at(i));","btRigidBody body = btRigidBody.upcast(objs.at(i));",39,39,0
"12","19.txt","final btRigidBody body = (btRigidBody)(obj);","final btRigidBody body = btRigidBody.upcast(obj);","final btRigidBody body = btRigidBody.upcast(obj);",91,91,0
"13","2.txt","return c.getName();","return c.getSimpleName();","return c.getSimpleName();",37,37,0
"14","20.txt","btRigidBody body = (btRigidBody)(cb.getM_collisionObject());","btRigidBody body = btRigidBody.upcast(cb.getM_collisionObject());","btRigidBody body = btRigidBody.upcast(cb.getM_collisionObject());",100,100,0
"15","21.txt","main.append(' ').bold(teamName);","main.append(' ').append(teamName);","main.append(' ').append(teamName);",394,394,0
"16","22.txt","public static final String NAME = ""_uid"".intern();","public static final String NAME = ""_uid"";","public static final String NAME = ""_uid"";",41,41,0
"17","23.txt","public final class LwjglFileHandle extends FileHandle {","final class LwjglFileHandle extends FileHandle {","final class LwjglFileHandle extends FileHandle {",28,28,0
"18","24.txt","public final class LwjglFiles implements Files {","final class LwjglFiles implements Files {","final class LwjglFiles implements Files {",25,25,0
"19","25.txt","forceRefresh();","forceReload();","forceReload();",47,47,0
"20","26.txt","List<Repository> repos = cache.getRepos(org, isForceRefresh(args));","List<Repository> repos = cache.getRepos(org, isForcedReload(args));","List<Repository> repos = cache.getRepos(org, isForcedReload(args));",117,117,0
"21","27.txt","stage = new Stage();","stage = new Stage(480, 320, true);","stage = new Stage(480, 320, true);",43,43,0
"22","28.txt","stage = new Stage();","stage = new Stage(480, 320, true);","stage = new Stage(480, 320, true);",39,39,0
"23","29.txt","hud = new Stage();","hud = new Stage(480, 320, true);","hud = new Stage(480, 320, true);",80,80,0
"24","3.txt","return clickListener.isPressed();","return clickListener.isVisualPressed();","return clickListener.isVisualPressed();",127,127,0
"25","30.txt","stage = new Stage();","stage = new Stage(480, 320, true);","stage = new Stage(480, 320, true);",43,43,0
"26","31.txt","stage.getViewport().update(width, height);","stage.setViewport(width, height, false);","stage.setViewport(width, height, false);",89,89,0
"27","32.txt","stage.getViewport().update(width, height);","stage.setViewport(width, height, true);","stage.setViewport(width, height, true);",116,116,0
"28","33.txt","stage = new Stage();","stage = new Stage(480, 320, true);","stage = new Stage(480, 320, true);",40,40,0
"29","34.txt","ui = new Stage();","ui = new Stage(Gdx.graphics.getWidth(), Gdx.graphics.getHeight(), false);","ui = new Stage(Gdx.graphics.getWidth(), Gdx.graphics.getHeight(), false);",89,89,0
"30","35.txt","ui = new Stage();;","ui = new Stage(480, 320, true);","ui = new Stage(480, 320, true);",105,105,0
"31","36.txt","stage.getViewport().update(width, height);","stage.setViewport(width, height, true);","stage.setViewport(width, height, true);",185,185,0
"32","37.txt","stage = new Stage();;","stage = new Stage(480, 320, false);","stage = new Stage(480, 320, false);",113,113,0
"33","38.txt","ui = new Stage();","ui = new Stage(Gdx.graphics.getWidth(), Gdx.graphics.getHeight(), true);","ui = new Stage(Gdx.graphics.getWidth(), Gdx.graphics.getHeight(), true);",48,48,0
"34","39.txt","stage.getViewport().update(width, height);","stage.setViewport(width, height, true);","stage.setViewport(width, height, true);",98,98,0
"35","4.txt","return new IOSApplication(new DownloadTest(), config);","return new IOSApplication(new BulletTestCollection(), config);","return new IOSApplication(new BulletTestCollection(), config);",32,32,0
"36","40.txt","stage.getViewport().update(width, height);","stage.setViewport(width, height, true);","stage.setViewport(width, height, true);",49,49,0
"37","41.txt","stage.getViewport().update(width, height);","stage.setViewport(width, height, true);","stage.setViewport(width, height, true);",75,75,0
"38","42.txt","stage.getViewport().update(width, height);","stage.setViewport(width, height, false);","stage.setViewport(width, height, false);",105,105,0
"39","43.txt","}, ""elasticsearch[keepAlive]"");","}, ""es[keepAlive]"");","}, ""es[keepAlive]"");",227,227,0
"40","44.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"41","45.txt","package org.elasticsearch.common.util.concurrent;","package org.elasticsearch.common.thread;","package org.elasticsearch.common.thread;",20,20,0
"42","46.txt","package org.elasticsearch.common.util.concurrent;","package org.elasticsearch.common.thread;","package org.elasticsearch.common.thread;",20,20,0
"43","47.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"44","48.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"45","49.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"46","5.txt","import com.badlogic.gdx.physics.bullet.dynamics.btRigidBody.btRigidBodyConstructionInfo;","import com.badlogic.gdx.physics.bullet.dynamics.btRigidBodyConstructionInfo;","import com.badlogic.gdx.physics.bullet.dynamics.btRigidBodyConstructionInfo;",47,47,0
"47","50.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"48","51.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"49","52.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"50","53.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"51","54.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"52","55.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"53","56.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",26,26,0
"54","57.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"55","58.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"56","59.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"57","6.txt","import com.badlogic.gdx.physics.bullet.dynamics.btRigidBody.btRigidBodyConstructionInfo;","import com.badlogic.gdx.physics.bullet.dynamics.btRigidBodyConstructionInfo;","import com.badlogic.gdx.physics.bullet.dynamics.btRigidBodyConstructionInfo;",27,27,0
"58","60.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"59","61.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",24,24,0
"60","62.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",24,24,0
"61","63.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"62","64.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"63","65.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",49,49,0
"64","66.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"65","67.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",23,23,0
"66","68.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",25,25,0
"67","69.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",32,32,0
"68","7.txt","import com.badlogic.gdx.physics.bullet.dynamics.btRigidBody.btRigidBodyConstructionInfo;","import com.badlogic.gdx.physics.bullet.dynamics.btRigidBodyConstructionInfo;","import com.badlogic.gdx.physics.bullet.dynamics.btRigidBodyConstructionInfo;",25,25,0
"69","70.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",30,30,0
"70","71.txt","import org.elasticsearch.common.util.concurrent.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;","import org.elasticsearch.common.thread.ThreadLocals;",26,26,0
"71","72.txt","return XSpecialOperations.getFiniteStrings(automaton, maxGraphExpansions);","return SpecialOperations.getFiniteStrings(automaton, maxGraphExpansions);","return SpecialOperations.getFiniteStrings(automaton, maxGraphExpansions);",915,915,0
"72","73.txt","final Set<IntsRef> ref = XSpecialOperations.getFiniteStrings(automaton, -1);","final Set<IntsRef> ref = SpecialOperations.getFiniteStrings(automaton, -1);","final Set<IntsRef> ref = SpecialOperations.getFiniteStrings(automaton, -1);",222,222,0
"73","74.txt","return android.os.Build.VERSION.SDK_INT;","return Integer.parseInt(android.os.Build.VERSION.SDK);","return Integer.parseInt(android.os.Build.VERSION.SDK);",375,375,0
"74","75.txt","int sdkVersion = android.os.Build.VERSION.SDK_INT;","int sdkVersion = Integer.parseInt(android.os.Build.VERSION.SDK);","int sdkVersion = Integer.parseInt(android.os.Build.VERSION.SDK);",149,117,1
"75","76.txt","return android.os.Build.VERSION.SDK_INT;","return Integer.parseInt(android.os.Build.VERSION.SDK);","return Integer.parseInt(android.os.Build.VERSION.SDK);",290,290,0
"76","77.txt","int pointerIndex = (event.getAction() & MotionEvent.ACTION_POINTER_INDEX_MASK) >> MotionEvent.ACTION_POINTER_INDEX_SHIFT;","int pointerIndex = (event.getAction() & MotionEvent.ACTION_POINTER_ID_MASK) >> MotionEvent.ACTION_POINTER_ID_SHIFT;","int pointerIndex = (event.getAction() & MotionEvent.ACTION_POINTER_ID_MASK) >> MotionEvent.ACTION_POINTER_ID_SHIFT;",32,32,0
"77","78.txt","if (file.getName().startsWith(prefix) && file.getName().endsWith("".png"")) file.delete();","if (file.getName().startsWith(prefix)) file.delete();","if (file.getName().startsWith(prefix)) file.delete();",767,767,0
"78","79.txt","routingNode.add(shardRouting);","allocation.routingNodes().assign(shardRouting, routingNode.nodeId());","RoutingNode routingNode = allocation.routingNodes().node(discoNode.id());",196,185,0.999999999442106
"79","8.txt","com.badlogic.gdx.physics.bullet.softbody.btSoftBody.Material pm = softBody.appendMaterial();","com.badlogic.gdx.physics.bullet.softbody.Material pm = softBody.appendMaterial();","com.badlogic.gdx.physics.bullet.softbody.Material pm = softBody.appendMaterial();",89,89,0
"80","80.txt","protected DiskThresholdDecider(Settings settings, NodeSettingsService nodeSettingsService) {","public DiskThresholdDecider(Settings settings, NodeSettingsService nodeSettingsService) {","public DiskThresholdDecider(Settings settings, NodeSettingsService nodeSettingsService) {",113,113,0
"81","81.txt","private Distance(double value, DistanceUnit unit) {","public Distance(double value, DistanceUnit unit) {","public Distance(double value, DistanceUnit unit) {",251,251,0
"82","82.txt","return request.getHeader(name);","return request.headers().get(name);","return request.getUri();",124,93,1
"83","83.txt","IndexFieldData build(Index index, @IndexSettings Settings indexSettings, FieldMapper.Names fieldNames, FieldDataType type, IndexFieldDataCache cache);","IndexFieldData build(Index index, @IndexSettings Settings indexSettings, FieldMapper<?> mapper, IndexFieldDataCache cache);","IndexFieldData build(Index index, @IndexSettings Settings indexSettings, FieldMapper<?> mapper, IndexFieldDataCache cache);",173,173,0
"84","84.txt","textsToHighlight = HighlightUtils.loadFieldValues(mapper, context, hitContext);","textsToHighlight = HighlightUtils.loadFieldValues(mapper, context, hitContext, field.forceSource());","textsToHighlight = HighlightUtils.loadFieldValues(mapper, context, hitContext, field.forceSource());",102,102,0
"85","85.txt","List<Object> textsToHighlight = HighlightUtils.loadFieldValues(fieldMapper, context, hitContext);","List<Object> textsToHighlight = HighlightUtils.loadFieldValues(fieldMapper, context, hitContext, field.forceSource());","List<Object> textsToHighlight = HighlightUtils.loadFieldValues(fieldMapper, context, hitContext, field.forceSource());",96,96,0
"86","86.txt","context.parsedFilter(filter);","context.parsedPostFilter(filter);","context.parsedPostFilter(filter);",40,40,0
"87","87.txt","return distance / 10000.0;","return distance / 1000.0;","return distance / 1000.0;",61,61,0
"88","88.txt",".setFilter(termFilter(""tag"", ""blue""))",".setPostFilter(termFilter(""tag"", ""blue""))",".setPostFilter(termFilter(""tag"", ""blue""))",674,674,0
"89","89.txt","SearchResponse result = client().prepareSearch(""test"").setQuery(QueryBuilders.matchAllQuery()).setFilter(filter).execute().actionGet();","SearchResponse result = client().prepareSearch(""test"").setQuery(QueryBuilders.matchAllQuery()).setPostFilter(filter).execute().actionGet();","SearchResponse result = client().prepareSearch(""test"").setQuery(QueryBuilders.matchAllQuery()).setPostFilter(filter).execute().actionGet();",254,254,0
"90","9.txt","import com.badlogic.gdx.physics.bullet.dynamics.btRaycastVehicle.btVehicleTuning;","import com.badlogic.gdx.physics.bullet.dynamics.btVehicleTuning;","import com.badlogic.gdx.physics.bullet.dynamics.btVehicleTuning;",40,40,0
"91","90.txt",".setFilter(FilterBuilders.existsFilter(""sparse_bytes"")).setSize(size).addSort(""sparse_bytes"", SortOrder.ASC).execute()",".setPostFilter(FilterBuilders.existsFilter(""sparse_bytes"")).setSize(size).addSort(""sparse_bytes"", SortOrder.ASC).execute()",".setPostFilter(FilterBuilders.existsFilter(""sparse_bytes"")).setSize(size).addSort(""sparse_bytes"", SortOrder.ASC).execute()",172,172,0
"92","91.txt","QueryBuilders.fieldQuery(""foo"", ""1"")","QueryBuilders.matchQuery(""foo"", ""1"")","QueryBuilders.matchQuery(""foo"", ""1"")",177,177,0
"93","92.txt","listener.onFailure(new InternalException(actionName, request));","listener.onFailure(new InternalException(actionName, request.getHeaders()));","listener.onFailure(new InternalException(actionName, request.getHeaders()));",87,87,0
"94","93.txt","handler.handleException(new TransportException("""", new InternalException(action, request)));","handler.handleException(new TransportException("""", new InternalException(action, request.getHeaders())));","handler.handleException(new TransportException("""", new InternalException(action, request.getHeaders())));",71,71,0
"95","94.txt","tokenFiltersBindings.processTokenFilter(""kstem"", KStemTokenFilterFactory.class);","tokenFiltersBindings.processTokenFilter(""k_stem"", KStemTokenFilterFactory.class);","tokenFiltersBindings.processTokenFilter(""k_stem"", KStemTokenFilterFactory.class);",333,333,0
"96","95.txt","client.admin().cluster().health(clusterHealthRequest, new ActionListener<ClusterHealthResponse>() {","client.admin().cluster().execHealth(clusterHealthRequest, new ActionListener<ClusterHealthResponse>() {","client.admin().cluster().execHealth(clusterHealthRequest, new ActionListener<ClusterHealthResponse>() {",79,79,0
"97","96.txt","client.admin().cluster().nodesInfo(nodesInfoRequest, new ActionListener<NodesInfoResponse>() {","client.admin().cluster().execNodesInfo(nodesInfoRequest, new ActionListener<NodesInfoResponse>() {","client.admin().cluster().execNodesInfo(nodesInfoRequest, new ActionListener<NodesInfoResponse>() {",54,54,0
"98","97.txt","client.admin().cluster().ping(broadcastPingRequest, new ActionListener<BroadcastPingResponse>() {","client.admin().cluster().execPing(broadcastPingRequest, new ActionListener<BroadcastPingResponse>() {","client.admin().cluster().execPing(broadcastPingRequest, new ActionListener<BroadcastPingResponse>() {",59,59,0
"99","98.txt","client.admin().cluster().ping(replicationPingRequest, new ActionListener<ReplicationPingResponse>() {","client.admin().cluster().execPing(replicationPingRequest, new ActionListener<ReplicationPingResponse>() {","client.admin().cluster().execPing(replicationPingRequest, new ActionListener<ReplicationPingResponse>() {",54,54,0
"100","99.txt","client.admin().cluster().ping(singlePingRequest, new ActionListener<SinglePingResponse>() {","client.admin().cluster().execPing(singlePingRequest, new ActionListener<SinglePingResponse>() {","client.admin().cluster().execPing(singlePingRequest, new ActionListener<SinglePingResponse>() {",53,53,0
